Position,Bowler,Team,Matches,Innings,Balls,Overs,Maidens,Runs,Wickets,Best_bowling_figure,Economy_rate,Four_wicket_haul,Five_wicket_hall
1,Prasidh Krishna,GT,15,15,354,59,0,488,25,4--41,8.27,1,0
2,Noor Ahmad,CSK,14,14,300,50,0,408,24,4--18,8.16,2,0
3,Josh Hazlewood,RCB,12,12,264,44,0,386,22,4--33,8.77,1,0
4,Trent Boult,MI,16,16,346,57.4,0,517,22,4--26,8.96,1,0
5,Arshdeep Singh,PBKS,17,16,350,58.2,1,518,21,3--16,8.88,0,0
6,Sai Kishore,GT,15,15,255,42.3,0,393,19,3--30,9.24,0,0
7,Jasprit Bumrah,MI,12,12,284,47.2,0,316,18,4--22,6.67,1,0
8,Varun Chakravarthy,KKR,13,13,300,50,0,383,17,3--22,7.66,0,0
9,Krunal Pandya,RCB,15,15,276,46,0,379,17,4--45,8.23,1,0
10,Bhuvneshwar Kumar,RCB,14,14,312,52,0,483,17,3--33,9.28,0,0
11,Vaibhav Arora,KKR,12,12,255,42.3,1,430,17,3--29,10.11,0,0
12,Pat Cummins,SRH,14,14,298,49.4,0,450,16,3--19,9.06,0,0
13,Marco Jansen,PBKS,14,14,283,47.1,0,434,16,3--17,9.2,0,0
14,Mohammed Siraj,GT,15,15,342,57,0,527,16,4--17,9.24,1,0
15,Yuzvendra Chahal,PBKS,14,13,270,45,0,430,16,4--28,9.55,2,0
